Date ,Alandi,Budhwad (Velholi),Koliye,Paud,basin_total,cluster,regime,pc1,pc2
1987-11-07,0.0,24.2,16.2,2.0,42.4,0,Low,-0.548615431064956,-0.9423125593954866
1987-11-08,1.0,4.4,7.6,0.0,13.0,0,Low,-0.5811159896045176,-0.7943671359430987
1987-11-09,0.0,1.6,0.0,8.1,9.7,0,Low,-0.5056489131577174,-0.7404724154803265
1987-11-10,0.0,11.6,0.0,0.0,11.6,0,Low,-0.6703799680774003,-0.23544485371487503
1987-11-11,0.0,0.0,0.0,0.0,0.0,0,Low,-0.8369011751961787,0.11931041795394241
1987-11-12,33.0,16.0,20.0,4.0,73.0,2,Normal,0.6343278557326879,-0.9198254329162681
1987-12-01,0.0,0.0,0.0,0.0,0.0,2,Normal,0.48044493541027167,-0.8923556503833114
1987-12-02,0.0,0.0,0.0,0.0,0.0,0,Low,0.17161073621441245,-0.784596253908385
1987-12-03,0.0,0.0,0.0,0.0,0.0,0,Low,-0.755299545498936,0.34097139506548285
1987-12-04,0.0,0.0,0.0,0.0,0.0,0,Low,-0.864793497448676,0.4895070280574222
1987-12-05,2.4,0.0,0.0,0.4,2.8,0,Low,-0.8814296147625811,0.5009211001214058
1987-12-06,0.0,0.0,15.0,4.0,19.0,0,Low,-0.5618054630551721,0.25179271582420804
1987-12-07,5.0,65.2,20.0,9.0,99.2,2,Normal,0.6718882087528563,-1.0457490410969073
1987-12-08,0.0,2.8,5.8,2.0,10.6,2,Normal,0.6831658518749583,-1.6088814517258319
1987-12-09,0.8,0.0,5.1,0.0,5.8999999999999995,0,Low,0.5494189957741843,-1.2795469070723549
1987-12-10,0.0,0.0,0.0,0.0,0.0,0,Low,-0.2573447006904975,0.15686277088038103
1987-12-11,0.0,0.0,0.0,0.0,0.0,0,Low,-0.4014960609987311,0.6797152878464606
1987-12-12,3.2,8.4,12.0,6.0,29.6,0,Low,0.05137976200882404,0.6367250614779175
1988-01-01,0.0,0.0,0.0,0.0,0.0,0,Low,-0.051816084417742575,0.8376539363388864
1988-01-02,0.0,0.0,0.0,0.0,0.0,0,Low,-0.8747985157020614,0.5209429897955581
1988-01-03,0.0,0.0,0.0,0.0,0.0,0,Low,-1.450918581489613,0.25160347805049044
1988-01-04,0.0,0.0,0.0,0.0,0.0,0,Low,-1.521557269024904,0.27143604603661925
1988-01-05,0.0,0.0,0.0,0.0,0.0,0,Low,-1.545157934416307,0.29442579403572977
1988-01-06,0.0,0.0,0.0,0.0,0.0,0,Low,-1.5547124491297306,0.31946170073976116
1988-01-07,0.0,0.4,15.0,0.0,15.4,0,Low,-1.4325080409700062,0.08525214332437527
1988-01-08,0.0,97.4,12.6,33.6,143.6,2,Normal,0.9860525769250138,-1.7791290284654298
1988-01-09,12.8,0.6,0.0,1.0,14.4,2,Normal,1.2235760085336136,-2.28253225482315
1988-01-10,5.0,0.0,0.0,0.0,5.0,2,Normal,1.2267791951823308,-1.9199215306469446
1988-01-11,0.0,0.0,0.0,0.0,0.0,0,Low,0.12744077319908761,0.03385775659356251
1988-01-12,0.0,0.0,0.0,0.0,0.0,0,Low,-0.08997361219437856,0.9285586771567761
1988-02-01,0.0,0.0,0.0,0.0,0.0,0,Low,-0.2020513402752439,1.4283378968670133
1988-02-02,0.0,0.0,0.0,0.0,0.0,0,Low,-0.4196742248361464,1.5272713206720174
1988-02-03,0.0,0.0,0.0,0.0,0.0,0,Low,-1.1540123094368924,1.2301627227059921
1988-02-04,0.0,0.0,0.0,0.0,0.0,0,Low,-1.6644062541266231,0.21833918572728167
1988-02-05,0.0,0.0,0.0,0.0,0.0,0,Low,-1.7481355971550894,0.11761564608344853
1988-02-06,0.0,0.0,0.0,0.0,0.0,0,Low,-1.761588562543837,0.08200854438762446
1988-02-07,0.0,0.2,8.2,0.0,8.399999999999999,0,Low,-1.5981261580733137,-0.021375560142903375
1988-02-08,24.4,83.4,10.4,93.4,211.60000000000002,2,Normal,2.5997117501973417,-2.733086882950812
1988-02-09,20.0,35.2,0.0,1.2,56.400000000000006,2,Normal,3.8760860133738957,-3.711756239884241
1988-02-10,4.0,0.0,2.6,0.4,7.0,2,Normal,3.6744639226982376,-3.5399140819176615
1988-02-11,0.0,0.0,0.0,0.0,0.0,2,Normal,1.8145677582471618,-0.2769850718688402
1988-02-12,0.0,0.0,0.0,0.0,0.0,2,Normal,1.2184710572623134,1.4593575842391697
1988-03-01,0.0,0.0,0.0,0.0,0.0,2,Normal,1.0672046860088606,2.2630391444024434
1988-03-02,0.0,0.0,0.0,0.0,0.0,2,Normal,0.937896086263273,2.5799795025567978
1988-03-03,0.0,0.0,0.0,0.0,0.0,0,Low,-0.26750431685796083,2.268490740086552
1988-03-04,0.0,0.0,0.0,0.0,0.0,0,Low,-1.181205384680921,0.7357681667247545
1988-03-05,0.0,0.0,0.0,0.0,0.0,0,Low,-1.384681663791556,0.33308866406883814
1988-03-06,0.0,0.0,0.0,0.0,0.0,0,Low,-1.403499429117278,0.28332281277493654
1988-03-07,0.0,10.2,0.0,2.0,12.2,0,Low,-1.1934599067023277,0.1465777378288958
1988-03-08,3.0,13.0,12.6,49.0,77.6,0,Low,0.3442346850911171,-0.770367691527057
1988-03-09,69.0,0.0,0.0,52.6,121.6,2,Normal,3.4872836041519917,-3.1132006468090956
1988-03-10,32.0,1.8,29.4,0.0,63.199999999999996,2,Normal,4.423648692956943,-4.40840752856927
1988-03-11,0.0,6.0,0.0,0.0,6.0,2,Normal,3.7080930745693292,-3.190455355241009
1988-03-12,0.0,0.0,0.0,0.0,0.0,2,Normal,2.3261167234254096,-0.23520508189947154
1988-04-01,0.0,0.0,0.0,0.0,0.0,2,Normal,1.597432906366636,1.643749301904681
1988-04-02,0.0,0.0,0.0,0.0,0.0,2,Normal,1.4256192744791465,2.2527113211709615
1988-04-03,0.0,0.0,0.0,0.0,0.0,2,Normal,0.9129058688037742,2.2895244885461716
1988-04-04,0.0,0.0,0.0,0.0,0.0,0,Low,-0.22936956882127188,1.7111968624729306
1988-04-05,0.0,0.0,0.0,0.0,0.0,0,Low,-1.0110098928468785,0.823077827363437
1988-04-06,0.0,0.0,0.0,0.0,0.0,0,Low,-1.2073302334682288,0.36802451314107104
1988-04-07,0.0,20.8,0.0,28.2,49.0,0,Low,-0.31338025581329126,-0.21698237616905802
1988-04-08,0.0,3.2,12.2,7.4,22.799999999999997,0,Low,0.1501437708572129,-0.4961518862396093
1988-04-09,0.0,0.0,5.6,0.8,6.3999999999999995,0,Low,0.25979204294948816,-0.4974858046352517
1988-04-10,32.0,1.6,19.2,0.4,53.199999999999996,2,Normal,1.0309444075605705,-1.0163814510558822
1988-04-11,0.0,0.2,0.0,0.0,0.2,0,Low,0.34259564829408656,-0.7992730089634785
1988-04-12,0.0,0.0,0.0,0.0,0.0,0,Low,0.017861269870640697,-0.5384353266453963
1988-05-01,0.0,0.0,0.0,0.0,0.0,0,Low,-0.6068822735071295,0.6951136734490058
1988-05-02,0.0,0.0,0.0,0.0,0.0,0,Low,-0.8795794874568513,0.8259061540856536
1988-05-03,0.0,0.0,0.0,0.0,0.0,0,Low,-1.1473601167708884,0.5652771721372982
1988-05-04,0.0,0.0,0.0,0.0,0.0,0,Low,-1.2600447396469179,0.44026649181839306
1988-05-05,0.0,0.0,0.0,0.0,0.0,0,Low,-1.6776310250199444,0.3756773417318304
1988-05-06,0.0,0.0,0.0,0.0,0.0,0,Low,-1.8212673921253195,-0.0014031785850780606
1988-05-07,0.0,17.8,15.9,18.0,51.7,0,Low,-0.8549179268053664,-0.5957346068789542
1988-05-08,0.0,16.6,10.4,9.0,36.0,0,Low,-0.1697527827713211,-1.0215326578644928
1988-05-09,0.0,0.0,4.2,0.0,4.2,0,Low,-0.1939134590210505,-1.063792534148117
